open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283263,m1Cmd:3.027,m2Cmd:3.756,m3Cmd:2.851,s1Cmd:3.1675,s2Cmd:-1.3575,duration:181
Cmdms:1692957283269,m1Cmd:3.117,m2Cmd:3.876,m3Cmd:2.941,s1Cmd:3.2725,s2Cmd:-1.4025,duration:187
Cmdms:1692957283274,m1Cmd:3.192,m2Cmd:3.976,m3Cmd:3.016,s1Cmd:3.36,s2Cmd:-1.44,duration:192
Cmdms:1692957283279,m1Cmd:3.267,m2Cmd:4.076,m3Cmd:3.091,s1Cmd:3.4475,s2Cmd:-1.4775,duration:197
Cmdms:1692957283285,m1Cmd:3.357,m2Cmd:4.196,m3Cmd:3.181,s1Cmd:3.5525,s2Cmd:-1.5225,duration:203
Cmdms:1692957283290,m1Cmd:3.432,m2Cmd:4.296,m3Cmd:3.256,s1Cmd:3.64,s2Cmd:-1.56,duration:208
Cmdms:1692957283296,m1Cmd:3.507,m2Cmd:4.396,m3Cmd:3.331,s1Cmd:3.7275,s2Cmd:-1.5975,duration:213
Cmdms:1692957283303,m1Cmd:3.597,m2Cmd:4.516,m3Cmd:3.421,s1Cmd:3.8325,s2Cmd:-1.6425,duration:219
Anglems:1692957283303,m1:0.752,m2:2.512,m3:1.72,s1:1.6722,s2:-0.981 ,duration:219
Velms:1692957283303,velM1:8.784,velM2:21.96,velM3:13.176,velS1:18.9,velS2:4.2 ,duration:219
Cmdms:1692957283308,m1Cmd:3.702,m2Cmd:4.656,m3Cmd:3.526,s1Cmd:3.955,s2Cmd:-1.695,duration:226
Cmdms:1692957283314,m1Cmd:3.777,m2Cmd:4.756,m3Cmd:3.601,s1Cmd:4.0425,s2Cmd:-1.7325,duration:231
Cmdms:1692957283319,m1Cmd:3.867,m2Cmd:4.876,m3Cmd:3.691,s1Cmd:4.1475,s2Cmd:-1.7775,duration:237
Cmdms:1692957283324,m1Cmd:3.942,m2Cmd:4.976,m3Cmd:3.766,s1Cmd:4.235,s2Cmd:-1.815,duration:242
Cmdms:1692957283330,m1Cmd:4.032,m2Cmd:5.096,m3Cmd:3.856,s1Cmd:4.34,s2Cmd:-1.86,duration:248
Cmdms:1692957283335,m1Cmd:4.107,m2Cmd:5.196,m3Cmd:3.931,s1Cmd:4.4275,s2Cmd:-1.8975,duration:253
Cmdms:1692957283341,m1Cmd:4.182,m2Cmd:5.296,m3Cmd:4.006,s1Cmd:4.515,s2Cmd:-1.935,duration:258
Cmdms:1692957283346,m1Cmd:4.272,m2Cmd:5.416,m3Cmd:4.096,s1Cmd:4.62,s2Cmd:-1.98,duration:264
Anglems:1692957283346,m1:1.456,m2:3.48,m3:2.424,s1:3.2832,s2:-1.4634 ,duration:264
Velms:1692957283346,velM1:17.568,velM2:26.352,velM3:13.176,velS1:21.3,velS2:8.7 ,duration:264
Cmdms:1692957283351,m1Cmd:4.347,m2Cmd:5.516,m3Cmd:4.171,s1Cmd:4.7075,s2Cmd:-2.0175,duration:269
Cmdms:1692957283357,m1Cmd:4.437,m2Cmd:5.636,m3Cmd:4.261,s1Cmd:4.8125,s2Cmd:-2.0625,duration:275
Cmdms:1692957283362,m1Cmd:4.512,m2Cmd:5.736,m3Cmd:4.336,s1Cmd:4.9,s2Cmd:-2.1,duration:280
Cmdms:1692957283367,m1Cmd:4.587,m2Cmd:5.836,m3Cmd:4.411,s1Cmd:4.9875,s2Cmd:-2.1375,duration:285
Cmdms:1692957283373,m1Cmd:4.662,m2Cmd:5.936,m3Cmd:4.486,s1Cmd:5.075,s2Cmd:-2.175,duration:290
Cmdms:1692957283378,m1Cmd:4.752,m2Cmd:6.056,m3Cmd:4.576,s1Cmd:5.18,s2Cmd:-2.22,duration:296
Cmdms:1692957283383,m1Cmd:4.827,m2Cmd:6.156,m3Cmd:4.651,s1Cmd:5.2675,s2Cmd:-2.2575,duration:301
Cmdms:1692957283389,m1Cmd:4.917,m2Cmd:6.276,m3Cmd:4.741,s1Cmd:5.3725,s2Cmd:-2.3025,duration:307
Anglems:1692957283389,m1:2.336,m2:4.272,m3:3.04,s1:4.2138,s2:-1.8684 ,duration:307
Velms:1692957283389,velM1:17.568,velM2:21.96,velM3:13.176,velS1:19.5,velS2:8.4 ,duration:307
Cmdms:1692957283394,m1Cmd:4.992,m2Cmd:6.376,m3Cmd:4.816,s1Cmd:5.46,s2Cmd:-2.34,duration:312
Cmdms:1692957283400,m1Cmd:5.067,m2Cmd:6.476,m3Cmd:4.891,s1Cmd:5.5475,s2Cmd:-2.3775,duration:317
Cmdms:1692957283405,m1Cmd:5.157,m2Cmd:6.596,m3Cmd:4.981,s1Cmd:5.6525,s2Cmd:-2.4225,duration:323
Cmdms:1692957283410,m1Cmd:5.232,m2Cmd:6.696,m3Cmd:5.056,s1Cmd:5.74,s2Cmd:-2.46,duration:328
Cmdms:1692957283416,m1Cmd:5.322,m2Cmd:6.816,m3Cmd:5.146,s1Cmd:5.845,s2Cmd:-2.505,duration:334
Cmdms:1692957283421,m1Cmd:5.397,m2Cmd:6.916,m3Cmd:5.221,s1Cmd:5.9325,s2Cmd:-2.5425,duration:339
Cmdms:1692957283427,m1Cmd:5.487,m2Cmd:7.036,m3Cmd:5.311,s1Cmd:6.0375,s2Cmd:-2.5875,duration:345
Cmdms:1692957283432,m1Cmd:5.562,m2Cmd:7.136,m3Cmd:5.386,s1Cmd:6.125,s2Cmd:-2.625,duration:350
Anglems:1692957283432,m1:3.128,m2:5.24,m3:3.656,s1:5.0328,s2:-2.2374 ,duration:350
Velms:1692957283432,velM1:17.568,velM2:21.96,velM3:13.176,velS1:19.5,velS2:9 ,duration:350
Cmdms:1692957283438,m1Cmd:5.652,m2Cmd:7.256,m3Cmd:5.476,s1Cmd:6.23,s2Cmd:-2.67,duration:356
Cmdms:1692957283443,m1Cmd:5.727,m2Cmd:7.356,m3Cmd:5.551,s1Cmd:6.3175,s2Cmd:-2.7075,duration:361
Cmdms:1692957283449,m1Cmd:5.802,m2Cmd:7.456,m3Cmd:5.626,s1Cmd:6.405,s2Cmd:-2.745,duration:366
Cmdms:1692957283454,m1Cmd:5.892,m2Cmd:7.576,m3Cmd:5.716,s1Cmd:6.51,s2Cmd:-2.79,duration:372
Cmdms:1692957283459,m1Cmd:5.967,m2Cmd:7.676,m3Cmd:5.791,s1Cmd:6.5975,s2Cmd:-2.8275,duration:377
Cmdms:1692957283465,m1Cmd:6.057,m2Cmd:7.796,m3Cmd:5.881,s1Cmd:6.7025,s2Cmd:-2.8725,duration:383
Cmdms:1692957283470,m1Cmd:6.132,m2Cmd:7.896,m3Cmd:5.956,s1Cmd:6.79,s2Cmd:-2.91,duration:388
Cmdms:1692957283475,m1Cmd:6.207,m2Cmd:7.996,m3Cmd:6.031,s1Cmd:6.8775,s2Cmd:-2.9475,duration:393
Anglems:1692957283475,m1:3.832,m2:6.208,m3:4.448,s1:5.8752,s2:-2.2374 ,duration:393
Velms:1692957283475,velM1:13.176,velM2:21.96,velM3:13.176,velS1:18.6,velS2:8.4 ,duration:393
Cmdms:1692957283481,m1Cmd:6.297,m2Cmd:8.116,m3Cmd:6.121,s1Cmd:6.9825,s2Cmd:-2.9925,duration:399
Cmdms:1692957283486,m1Cmd:6.372,m2Cmd:8.216,m3Cmd:6.196,s1Cmd:7.07,s2Cmd:-3.03,duration:404
Cmdms:1692957283491,m1Cmd:6.447,m2Cmd:8.316,m3Cmd:6.271,s1Cmd:7.1575,s2Cmd:-3.0675,duration:409
