open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
**********************
*angle ms:1692950281018,m1:-0.128,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692950281018,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950281198,m1Cmd:3.472,m2Cmd:5.536,m3Cmd:1.936,s1Cmd:0.6,s2Cmd:1.2,duration:180
Cmdms:1692950281204,m1Cmd:3.572,m2Cmd:5.686,m3Cmd:1.986,s1Cmd:0.616667,s2Cmd:1.23333,duration:185
Cmdms:1692950281209,m1Cmd:3.692,m2Cmd:5.866,m3Cmd:2.046,s1Cmd:0.636667,s2Cmd:1.27333,duration:191
Cmdms:1692950281215,m1Cmd:3.792,m2Cmd:6.016,m3Cmd:2.096,s1Cmd:0.653333,s2Cmd:1.30667,duration:196
Cmdms:1692950281220,m1Cmd:3.912,m2Cmd:6.196,m3Cmd:2.156,s1Cmd:0.673333,s2Cmd:1.34667,duration:202
Cmdms:1692950281226,m1Cmd:4.012,m2Cmd:6.346,m3Cmd:2.206,s1Cmd:0.69,s2Cmd:1.38,duration:207
Cmdms:1692950281231,m1Cmd:4.112,m2Cmd:6.496,m3Cmd:2.256,s1Cmd:0.706667,s2Cmd:1.41333,duration:212
Cmdms:1692950281236,m1Cmd:4.232,m2Cmd:6.676,m3Cmd:2.316,s1Cmd:0.726667,s2Cmd:1.45333,duration:218
Anglems:1692950281236,m1:0.84,m2:3.656,m3:1.192,s1:0.4752,s2:1.206 ,duration:218
Velms:1692950281236,velM1:13.176,velM2:30.744,velM3:4.392,velS1:3,velS2:5.4 ,duration:218
Cmdms:1692950281242,m1Cmd:4.332,m2Cmd:6.826,m3Cmd:2.366,s1Cmd:0.743333,s2Cmd:1.48667,duration:223
Cmdms:1692950281247,m1Cmd:4.452,m2Cmd:7.006,m3Cmd:2.426,s1Cmd:0.763333,s2Cmd:1.52667,duration:229
Cmdms:1692950281253,m1Cmd:4.552,m2Cmd:7.156,m3Cmd:2.476,s1Cmd:0.78,s2Cmd:1.56,duration:234
Cmdms:1692950281258,m1Cmd:4.672,m2Cmd:7.336,m3Cmd:2.536,s1Cmd:0.8,s2Cmd:1.6,duration:240
Cmdms:1692950281263,m1Cmd:4.772,m2Cmd:7.486,m3Cmd:2.586,s1Cmd:0.816667,s2Cmd:1.63333,duration:245
Cmdms:1692950281269,m1Cmd:4.872,m2Cmd:7.636,m3Cmd:2.636,s1Cmd:0.833333,s2Cmd:1.66667,duration:250
Cmdms:1692950281274,m1Cmd:4.992,m2Cmd:7.816,m3Cmd:2.696,s1Cmd:0.853333,s2Cmd:1.70667,duration:256
Cmdms:1692950281280,m1Cmd:5.092,m2Cmd:7.966,m3Cmd:2.746,s1Cmd:0.87,s2Cmd:1.74,duration:261
Anglems:1692950281280,m1:1.984,m2:4.976,m3:1.632,s1:0.612,s2:1.53 ,duration:261
