open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692947065575,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0
*vel ms:1692947065575,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692947065756,m1Cmd:3.12,m2Cmd:4.848,m3Cmd:2.024,s1Cmd:0.6,s2Cmd:1.2,duration:180
Cmdms:1692947065761,m1Cmd:3.22,m2Cmd:4.98133,m3Cmd:2.074,s1Cmd:0.616667,s2Cmd:1.23333,duration:185
Cmdms:1692947065767,m1Cmd:3.32,m2Cmd:5.11467,m3Cmd:2.124,s1Cmd:0.633333,s2Cmd:1.26667,duration:190
Cmdms:1692947065772,m1Cmd:3.44,m2Cmd:5.27467,m3Cmd:2.184,s1Cmd:0.653333,s2Cmd:1.30667,duration:196
Cmdms:1692947065778,m1Cmd:3.54,m2Cmd:5.408,m3Cmd:2.234,s1Cmd:0.67,s2Cmd:1.34,duration:201
Cmdms:1692947065783,m1Cmd:3.66,m2Cmd:5.568,m3Cmd:2.294,s1Cmd:0.69,s2Cmd:1.38,duration:207
Cmdms:1692947065789,m1Cmd:3.78,m2Cmd:5.728,m3Cmd:2.354,s1Cmd:0.71,s2Cmd:1.42,duration:213
Cmdms:1692947065794,m1Cmd:3.88,m2Cmd:5.86133,m3Cmd:2.404,s1Cmd:0.726667,s2Cmd:1.45333,duration:218
Anglems:1692947065794,m1:0.048,m2:3.128,m3:1.28,s1:0.3294,s2:0.9882 ,duration:218
Velms:1692947065794,velM1:8.784,velM2:30.744,velM3:8.784,velS1:3.6,velS2:6.3 ,duration:218
Cmdms:1692947065799,m1Cmd:3.98,m2Cmd:5.99467,m3Cmd:2.454,s1Cmd:0.743333,s2Cmd:1.48667,duration:223
Cmdms:1692947065805,m1Cmd:4.1,m2Cmd:6.15467,m3Cmd:2.514,s1Cmd:0.763333,s2Cmd:1.52667,duration:229
Cmdms:1692947065810,m1Cmd:4.2,m2Cmd:6.288,m3Cmd:2.564,s1Cmd:0.78,s2Cmd:1.56,duration:234
Cmdms:1692947065816,m1Cmd:4.3,m2Cmd:6.42133,m3Cmd:2.614,s1Cmd:0.796667,s2Cmd:1.59333,duration:239
Cmdms:1692947065822,m1Cmd:4.44,m2Cmd:6.608,m3Cmd:2.684,s1Cmd:0.82,s2Cmd:1.64,duration:246
